Date,Name,Year,Letterboxd URI
2023-10-16,50/50,2011,https://boxd.it/10Tw
2023-10-23,Killers of the Flower Moon,2023,https://boxd.it/gHp0
2023-10-29,The Color of Money,1986,https://boxd.it/1SSM
2023-11-23,Tale of the Three Jewels,1995,https://boxd.it/8lSI
2023-11-29,Napoleon,2023,https://boxd.it/shJM
2023-12-22,Shin Godzilla,2016,https://boxd.it/a9lm
2023-12-23,The Big Sick,2017,https://boxd.it/eHvy
2023-12-23,Love & Pop,1998,https://boxd.it/2sv0
2023-12-24,Ritual,2000,https://boxd.it/14z6
2023-12-26,Paranoia Agent,2004,https://boxd.it/lPy0
2023-12-26,Tokyo Godfathers,2003,https://boxd.it/1Qg2
2023-12-31,Neon Genesis Evangelion,1995,https://boxd.it/ptEI
2024-01-02,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM
2024-01-03,The Iron Claw,2023,https://boxd.it/w5Pm
2024-01-04,Saltburn,2023,https://boxd.it/z4eg
2024-01-06,Palo Alto,2013,https://boxd.it/5Nzy
2024-01-07,The Batman,2022,https://boxd.it/eDGs
2024-01-11,Dancer in the Dark,2000,https://boxd.it/71E
2024-01-12,The Holdovers,2023,https://boxd.it/vHza
2024-01-13,Kusama: Infinity,2018,https://boxd.it/hG3a
2024-01-17,Ani*Kuri15,2007,https://boxd.it/7OxW
2024-01-17,Ani*Kuri15: Good Morning,2007,https://boxd.it/fqQc
2024-01-18,Breathless,1960,https://boxd.it/2aIK
2024-01-24,Past Lives,2023,https://boxd.it/oNB8
2024-01-27,Singles,1992,https://boxd.it/1UIu
2024-01-30,The Boondock Saints,1999,https://boxd.it/20gw
2024-02-16,Digimon: The Movie,2000,https://boxd.it/1DrQ
2024-03-01,Dune: Part Two,2024,https://boxd.it/pUfA
2024-03-03,Amiko,2022,https://boxd.it/vfZ0
2024-03-09,Trainspotting,1996,https://boxd.it/29XY
2024-03-15,The Zone of Interest,2023,https://boxd.it/gJsA
2024-04-07,Monkey Man,2024,https://boxd.it/kvsO
2024-04-17,Harakiri,1962,https://boxd.it/1NTU
2024-04-27,Throne of Blood,1957,https://boxd.it/251w
