Date,Name,Year,Letterboxd URI,Rating
2025-10-17,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,1
2025-10-17,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,0.5
2025-10-17,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,3.5
2025-10-20,Control,2007,https://boxd.it/22IC,4.5
2025-10-21,Picnic,1996,https://boxd.it/10HU,4.5
2025-10-31,Frankenstein,2025,https://boxd.it/Ecsg,3
2025-11-03,Bugonia,2025,https://boxd.it/qeWY,1
2025-11-03,Il Mare,2000,https://boxd.it/1RuO,5
2025-11-08,Autumn Sonata,1978,https://boxd.it/1Rio,5
2025-11-09,The Day of the Beast,1995,https://boxd.it/1Vyg,0.5
2025-11-13,Fallen Angels,1995,https://boxd.it/1UkW,5
2025-11-22,Rental Family,2025,https://boxd.it/JQOw,4.5
2025-12-01,Secret Sunshine,2007,https://boxd.it/27CY,5
2025-12-06,Sentimental Value,2025,https://boxd.it/GwcG,5
2025-12-09,No Other Choice,2025,https://boxd.it/nKiA,5
2025-12-13,Resurrection,2025,https://boxd.it/x9DG,5
2025-12-16,A Bittersweet Life,2005,https://boxd.it/1U4Y,5
2025-12-19,Long Day's Journey Into Night,2018,https://boxd.it/hw1I,4
2025-12-26,Kaili Blues,2015,https://boxd.it/cksW,4.5
